AAC	
Triplecrown Acquisition Corp.	TCW	
Tucows	TCX	
Uluru	ULU	
United Capital	AFP	
United Guardian	UG	
United Mobile	UMH	
United Refining Energy Corp.	URX	
Universal Insurance Holdings	UVE	
Universal Power Grp.	UPG	
Universal Security	UUU	
Uqm	UQM	
Ur-energy	URG	
Uranerz Energy Corp.	URZ	
Uranium Energy Corp	UEC	
Uroplasty	UPI	
Us Dataworks	UDW	
Us Gold Corp.	UXG	
Utek	UTK	
Valuerich	IVA	
Van Kampen Advantage Municipal Income	VKI	
Van Kampen Mass Vlue	VMV	
Van Kampen Sel Sectr	VKL	
Vantage Drilling Company	VTG	
Velocity Portfolio Grp.	PGV	
Vermont Pure	VPS	
Versar	VSR	
Vicon	VII	
Victory Acquisition Corp	VRY	
Virnetx Holding Corp.	VHC	
Vista Gold	VGZ	
Wachovia Pins S & P500	TSV	
Walter Investment Management Corp	WAC	
Watsco	WSO.B	
Wells Gardner Electronics	WGA	
Wesco Financial	WSC	
Western Goldfields Inc.	WGW	
Westmoreland Coal	WLB	
White River Capital	RVR	
Widepoint Corp.	WYY	
Wilber	GIW	
Wilshire	WOC	
Winland Electronics	WEX	
Wireless Telecom	WTT	
Wizzard Software Corp.	WZE	
Xcorporeal Inc.	XCR	
Xelr8 Holdings	BZI	
Xenonics	XNN	
Xfone	XFN	
Ym Biosciences	YMI
Zbb Energy Corp.	ZBB	
Zion Oil Gas	ZN
